weeknr,week,lec,leclink,lab,lablink
1.01,Sem 1 Week 1,Intro to Linear Models,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_01_introlm.html ,Simple Linear Regression,https://uoepsy.github.io/dapr2/2526/labs/1_01_slr.html
1.02,Sem 1 Week 2,Interpreting Linear Models,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_02_lm2.html,Multiple Linear Regression,https://uoepsy.github.io/dapr2/2526/labs/1_02_mlr.html
1.03,Sem 1 Week 3,Testing Individual Predictors,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_03_testingbeta.html,Multiple Linear Regression & Standardization,https://uoepsy.github.io/dapr2/2526/labs/1_03_mlr_stz.html
1.04,Sem 1 Week 4,Model Testing & Comparison,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_04_ftests.html,Model Fit and Comparisons,https://uoepsy.github.io/dapr2/2526/labs/1_04_model_fit_comp.html
1.05,Sem 1 Week 5,Linear Model Analysis: Study Brief,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_05_lm_analysis_brief.html ,Block 1 Analysis & Write-Up Example,https://uoepsy.github.io/dapr2/2526/labs/1_05_writeup_recap1.html
,,Linear Model Analysis: Analysis Report,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_05_lm_analysis_report.html,,
1.06,Sem 1 Week 6,No Lecture,,,
1.07,Sem 1 Week 7,Categorical predictors and dummy coding,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_06_categ_dummy.html,Dummy coding,https://uoepsy.github.io/dapr2/2526/labs/1_06_dummy.html
1.08,Sem 1 Week 8,Effect coding and manual post-hoc contrasts,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_07_effects_manual.html,Effects coding,https://uoepsy.github.io/dapr2/2526/labs/1_07_effects.html
1.09,Sem 1 Week 9,Assumptions and diagnostics,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_08_assump_diag.html,Assumptions and diagnostics,https://uoepsy.github.io/dapr2/2526/labs/1_08_assump_diag.html
1.1,Sem 1 Week 10,Bootstrapping and confidence intervals,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_09_boot.html,Bootstrapping,https://uoepsy.github.io/dapr2/2526/labs/1_09_bootstrap.html
1.11,Sem 1 Week 11,Categorical predictors: Study brief,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_10_catpred_analysis_brief.html,Block 2 analysis and write-up example,https://uoepsy.github.io/dapr2/2526/labs/1_10_writeup_recap2.html
,,Categorical predictors: Practice analysis,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_10_categ_practice.html,,
2,---,,,,
2.01,Sem 2 Week 1,Mean-centering and numeric/categorical interactions,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_11_ixn_nc.html,Interactions I: Num x Cat,https://uoepsy.github.io/dapr2/2526/labs/2_01_int1_nc.html
2.02,Sem 2 Week 2,Numeric/numeric interactions,https://uoepsy.github.io/dapr2/2526/lectures/dapr2_12_ixn_nn.html,Interactions II: Num x Num,https://uoepsy.github.io/dapr2/2526/labs/2_02_int2_nn.html
2.03,Sem 2 Week 3,Categorical/categorical interactions,,,
2.04,Sem 2 Week 4,Manual contrast interactions and multiple comparisons,,,
2.05,Sem 2 Week 5,Interactions: Practice analysis,,,
2.06,Flexible Learning Week,No Lecture,,,
2.07,Sem 2 Week 6,Power,,,
2.08,Sem 2 Week 7,Binary Logistic Regression I,,,
2.09,Sem 2 Week 8,Binary Logistic Regression I,,,
2.1,Sem 2 Week 9,Logistic Regression Analysis ,,,
2.11,Sem 2 Week 10,Exam Prep and Course Q&A,,,
