ppt_id,anx,vehicle,road
1,39,Bike,Rural
2,41,Bike,City
3,38,Car,Rural
4,63,Bike,DualCarr
5,18,Car,Rural
6,47,Bike,DualCarr
7,25,Car,Rural
8,29,Car,City
9,33,Car,DualCarr
10,38,Bike,City
11,50,Bike,DualCarr
12,11,Bike,Rural
13,33,Bike,City
14,11,Car,Rural
15,40,Car,Rural
16,19,Car,City
17,52,Bike,DualCarr
18,58,Bike,DualCarr
19,23,Car,DualCarr
20,21,Car,DualCarr
21,42,Car,City
22,31,Car,Rural
23,25,Car,Rural
24,41,Car,Rural
25,29,Car,Rural
26,37,Car,Rural
27,37,Car,City
28,17,Car,City
29,15,Car,Rural
30,47,Car,DualCarr
31,17,Car,Rural
32,52,Bike,DualCarr
33,40,Bike,DualCarr
34,38,Car,DualCarr
35,31,Car,City
36,22,Car,Rural
37,62,Bike,DualCarr
38,38,Bike,City
39,43,Bike,City
40,30,Car,City
41,47,Car,City
42,19,Car,DualCarr
43,34,Car,DualCarr
44,30,Bike,Rural
45,43,Car,City
46,55,Bike,DualCarr
47,29,Car,DualCarr
48,28,Car,DualCarr
49,21,Car,DualCarr
50,55,Bike,City
51,23,Bike,Rural
52,47,Bike,City
53,31,Car,Rural
54,19,Car,City
55,60,Bike,DualCarr
56,30,Car,Rural
57,24,Bike,DualCarr
58,48,Bike,DualCarr
59,34,Bike,Rural
60,26,Bike,Rural
61,38,Car,City
62,44,Bike,City
63,26,Bike,City
64,49,Bike,DualCarr
65,38,Car,City
66,23,Car,DualCarr
67,41,Car,City
68,14,Bike,Rural
69,32,Car,Rural
70,17,Car,Rural
71,30,Bike,Rural
72,30,Bike,City
73,16,Bike,Rural
74,67,Bike,DualCarr
75,30,Bike,Rural
76,44,Bike,City
77,31,Car,Rural
78,20,Car,DualCarr
79,23,Bike,Rural
80,30,Car,City
81,48,Bike,Rural
82,29,Bike,Rural
83,27,Car,City
84,20,Car,Rural
85,49,Bike,DualCarr
86,36,Car,DualCarr
87,27,Car,City
88,37,Car,City
89,41,Car,DualCarr
90,28,Car,DualCarr
91,19,Car,Rural
92,40,Car,DualCarr
93,21,Car,City
94,25,Car,DualCarr
95,37,Bike,City
96,23,Car,DualCarr
97,33,Car,Rural
98,37,Bike,DualCarr
99,30,Car,DualCarr
100,27,Bike,Rural
101,20,Bike,Rural
102,17,Bike,Rural
103,30,Bike,City
104,43,Car,City
105,17,Car,Rural
106,37,Car,City
107,41,Car,DualCarr
108,37,Bike,City
109,47,Bike,Rural
110,33,Car,City
111,53,Bike,DualCarr
112,43,Car,City
113,51,Bike,City
114,36,Car,DualCarr
115,43,Car,DualCarr
116,36,Bike,City
117,32,Car,Rural
118,43,Bike,City
119,44,Car,DualCarr
120,26,Car,DualCarr
121,13,Car,Rural
122,26,Bike,Rural
123,28,Bike,City
124,40,Car,Rural
125,24,Car,DualCarr
126,27,Car,City
127,19,Bike,Rural
128,30,Bike,Rural
129,10,Bike,Rural
130,15,Car,City
131,17,Bike,City
132,28,Bike,City
133,55,Bike,City
134,39,Bike,City
135,34,Bike,Rural
136,22,Car,City
137,38,Car,DualCarr
138,60,Bike,DualCarr
139,21,Car,Rural
140,29,Car,City
141,38,Bike,City
142,43,Bike,DualCarr
143,46,Car,DualCarr
144,37,Bike,City
145,48,Bike,City
146,54,Bike,DualCarr
147,23,Bike,Rural
148,24,Car,City
149,50,Bike,City
150,41,Bike,City
151,45,Bike,DualCarr
152,34,Bike,City
153,21,Bike,Rural
154,39,Bike,Rural
155,48,Bike,DualCarr
156,31,Car,DualCarr
157,37,Car,DualCarr
158,35,Car,City
159,43,Bike,Rural
160,23,Bike,Rural
161,23,Car,Rural
162,42,Bike,City
163,44,Bike,DualCarr
164,36,Car,DualCarr
165,14,Bike,Rural
166,36,Car,City
167,28,Bike,Rural
168,32,Car,DualCarr
169,20,Car,Rural
170,30,Bike,DualCarr
171,42,Car,DualCarr
172,23,Bike,Rural
173,60,Bike,DualCarr
174,20,Car,City
175,50,Bike,Rural
176,31,Bike,Rural
177,20,Bike,Rural
178,57,Bike,DualCarr
179,39,Car,City
180,38,Car,City
181,20,Bike,Rural
182,22,Bike,Rural
183,54,Bike,DualCarr
184,34,Bike,City
185,25,Bike,DualCarr
186,30,Bike,Rural
187,29,Car,City
188,27,Car,DualCarr
189,51,Bike,DualCarr
190,51,Car,DualCarr
191,31,Bike,Rural
192,49,Bike,City
193,21,Car,City
194,53,Car,DualCarr
195,38,Bike,DualCarr
196,19,Car,Rural
197,29,Car,Rural
198,50,Bike,DualCarr
199,34,Car,DualCarr
200,38,Car,DualCarr
201,36,Car,City
202,52,Bike,City
203,32,Bike,DualCarr
204,27,Car,DualCarr
205,46,Bike,City
206,28,Car,DualCarr
207,32,Car,City
208,43,Bike,Rural
209,41,Bike,DualCarr
210,29,Car,DualCarr
211,53,Bike,City
212,49,Car,City
213,45,Car,Rural
214,34,Car,Rural
215,37,Car,Rural
216,28,Bike,DualCarr
