service,salary,dept
6.223889786,60.50348766,0
2.728147201,22.88943141,1
4.584288087,48.8951257,0
5.358819868,49.85258155,0
3.526037408,28.17506056,1
5.63026638,54.07042552,0
5.651475815,37.7671886,1
2.608281789,37.89651674,0
5.944198442,36.51779784,1
4.935107553,28.42941145,1
3.399287052,42.07741619,0
3.888551246,32.66349004,1
5.400783181,52.1176462,0
3.638382966,32.16525955,1
4.337025661,27.02847345,1
6.273467156,34.70847987,1
5.257376299,51.91758621,0
5.881549904,47.96058571,0
4.141011934,22.20361333,1
6.83783302,30.76804062,1
4.389826929,22.62363091,1
6.511733273,55.8877333,0
4.334988673,25.72957113,1
4.423925469,50.09886131,0
3.623189581,43.70640923,0
5.261298945,37.84218688,1
4.977061029,48.19431442,0
4.829397654,34.96745884,1
6.131636694,46.89499559,0
5.532532376,25.82009258,1
4.121365737,37.80507709,0
4.164268153,45.29462263,0
6.928800687,71.05002481,0
5.437096322,50.92121025,0
4.535065969,31.15377402,1
4.196512358,50.55831632,0
3.595553277,40.49607266,0
5.926746049,65.97169468,0
4.109245687,26.96836452,1
4.497618626,37.77801922,1
3.980339716,48.80299757,0
5.790526556,35.7619241,1
6.357851799,31.08268503,1
4.272478175,24.1924518,1
4.974945402,29.84586132,1
5.648818221,31.93955184,1
3.8154371,22.04731211,1
5.027020954,51.58918393,0
5.826107093,57.80368655,0
4.003089066,27.4852942,1
