weeknr,week,lec,leclink,lab,lablink
1.01,Sem 1 Week 1 (01),Introduction to linear regression,,01: Simple linear regression,
1.02,Sem 1 Week 2 (02),Interpreting linear models,,02: Multiple regression,
1.03,Sem 1 Week 3 (03),Testing predictors and evaluating linear models,,03: Significance tests,
1.04,Sem 1 Week 4 (04),F-tests and model comparison,,04: Model comparison,
1.05,Sem 1 Week 5 (05),Practice analysis: Linear models (Study brief),,05: Practice write-up,
1.06,Sem 1 Week 6,No Lecture,,No Lab,
1.07,Sem 1 Week 7 (06),Categorical predictors and treatment coding,,06: Treatment coding,
1.08,Sem 1 Week 8 (07),Sum coding,,07: Sum coding,
1.09,Sem 1 Week 9 (08),Assumptions and diagnostics,,08: Assumptions and diagnostics,
1.1,Sem 1 Week 10 (09),Bootstrapping and confidence intervals,,09: Bootstrapping,
1.11,Sem 1 Week 11 (10),Practice analysis: Categorical predictors (Study brief),,10: Practice write-up,
2,---,,,,
2.01,Sem 2 Week 1 (11),Mean-centering and numeric/categorical interactions,,11: Numeric/categorical interactions,
2.02,Sem 2 Week 2 (12),Numeric/numeric interactions,,12: Numeric/numeric interactions,
2.03,Sem 2 Week 3 (13),Categorical/categorical interactions,,13: Categorical/categorical interactions,
2.04,Sem 2 Week 4 (14),Testing simple effects and correcting for multiple comparisons,,14: Testing simple effects,
2.05,Sem 2 Week 5 (15),Practice analysis: Interactions (Study brief),,15: Practice write-up,
2.06,Flexible Learning Week,No Lecture,,No Lab,
2.07,Sem 2 Week 6 (16),Probabilities and log-odds,,16: Probabilities and log-odds,
2.08,Sem 2 Week 7 (17),Modelling binary outcomes with logistic regression,,17: Logistic regression with one predictor,
2.09,Sem 2 Week 8 (18),"Interactions, assumptions, diagnostics, comparisons",,18: Logistic regression with multiple predictors,
2.1,Sem 2 Week 9 (19),Practice analysis: Logistic regression (Study brief),,19: Practice write-up,
2.11,Sem 2 Week 10 (20),Report feedback [Access via Learn],,Mock Exam [Access via Learn],
,,Exam prep,,,
,,,,,
,,,,,
,,,,,
,,, ,,
