"","...1","screen_name","favorite_count","retweet_count","media_type","text"
"1",78462,"DogsTrust",41,11,"Photo","With our #CanineCareCard, you can be sure that your dog will be loved and cared for whatever the future brings. Find out more about our completely free service, created to give pooch owners peace of mind <U+27A1><U+FE0F>"
"2",78731,"DogsTrust",28,11,"Photo","Running across the UK and throughout the school summer holidays, our free face-to-face, 90-minute, family workshops promote dog safety through games and activities. <U+0001F9D2> <U+0001F43E>
Find your nearest workshop and sign up!
<U+27A1><U+FE0F>"
"3",48668,"Greenpeace",466,166,"Nophoto","When billionaires go to space they see this: $$$

When astronauts go to space they see this:"
"4",98181,"AnimalAid",79,62,"Photo","Here's some simple online actions you can take for animals!

1) CCTV for Welsh slaughterhouses:"
"5",17036,"Surfrider",0,0,"Nophoto","@BellaMarLuna &gt;&gt;"
"6",1074,"oceana",1189,181,"Photo","Current mood. <U+0001F4A4>"
"7",9317,"coral_org",2,0,"Photo","Happy Thanksgiving, from our CORAL family to yours! #Turkeyday #givethanks #coralreefs"
"8",53167,"BBCEarth",79,21,"Nophoto","Find out how Mexico are drawing power from cacti... <U+0001F335>"
"9",123971,"AWF_Official",38,11,"Photo","DEADLINE: You only have till midnight tonight to have your gift tripled. If you give before then, you can help protect three times the #wildlife. Your gift will also qualify for a 2019 tax deduction."
"10",96120,"ASPCA",55,16,"Photo","Thank you @SethCasteel and @billyjoel for your generous auction items at this year<U+0092>s #BerghBall!"
"11",39410,"therightblue",0,0,"Nophoto","Map: Lake Tahoe campgrounds, trails, resorts closed at least through Labor Day"
"12",9274,"coral_org",0,0,"Nophoto","Major milestone in community effort to protect Hawai<U+02BB>i<U+0092>s coral reefs from further pollution"
"13",83014,"PDSA_HQ",0,0,"Nophoto","@hierath77 Hi Joanne, could you send me a DM and I will assist you further?
 
Thanks
Nicky"
"14",40120,"therightblue",0,0,"Nophoto","Panic-Buying And Transport Lockdowns. In Wuhan, It Feels Like Early Pandemic Again : Coronavirus Updates : NPR"
"15",55936,"UNEP",225,113,"Nophoto","<U+0093>The #COVID19 pandemic has laid bare how our health &amp; well-being depend on the health of the planet. Pulling together in a global movement for restoration is key to making our societies &amp; economies stronger &amp; fitter for the future.<U+0094>  @andersen_inger 

"
"16",91595,"Defenders",62,22,"Nophoto","<U+0093>We really view this as an opportunity to right a wrong that was done to #jaguars,<U+0094> said Sharon Wilcox, our #Texas rep. <U+0093>The intent of this paper is to really initiate a new conversation around jaguar recovery in the U.S."""
"17",33352,"padiaware",27,22,"Nophoto","Help protecting our ocean by protecting yourself with reusable and washable mask straps but, if you can't, remember to do this first before tossing your mask <U+0001F447>
#COVID19litter #NoExcuseforSingleUse #reducereuserecycle <U+267B><U+FE0F> #TogetherAWARE #UglyJourneyofourTrash #CleanOcean"
"18",97928,"AnimalAid",113,58,"Nophoto","More than 5,000 people have signed our petition with @herbivore_club calling on @KelloggsUKI to switch the vitamin D it uses in its cereals to a vegan version. This very simple move will make many Kellogg<U+0092>s products suitable for vegans!<U+0001F331>"
"19",59554,"pewenvironment",38,11,"Nophoto","<U+0093>A great reminder that our oceans are still this very unexplored place.<U+0094><U+0097>#PewMarineFellow @ashadevos."
"20",102171,"FarmSanctuary",86,43,"Nophoto","Are you looking for a New Year's resolution that's good for animals, your health, and the planet? Try going vegan for the month of January:"
"21",100334,"Protect_Wldlife",111,33,"Photo","Coming up for auction soon. A stunning ORIGINAL #Wolf watercolour!

#IStandForWolves 

@nywolforg @NickTaylorLLB @rick_lamplugh"
"22",113940,"pawtitions",14,35,"Nophoto","Wild animals should never be used as props for #selfies!"
"23",105262,"MercyForAnimals",105,32,"Nophoto","""Cuttlefish in the present study were all able to wait for the better reward and tolerated delays for up to 50<U+0096>130 seconds, which is comparable to what we see in large-brained vertebrates such as chimpanzees, crows, and parrots.""
"
"24",5546,"OurOcean",89,49,"Nophoto","Rolling back oil spill prevention regulations would put Alaska<U+0092>s ocean and coasts at risk for disaster. We can<U+0092>t afford to take that chance. <U+0001F30E>

"
"25",48899,"Greenpeace",1644,476,"Photo","Last week Greenland banned new oil and #FossilGas exploration because of the severity of the #ClimateCrisis. 

Which country will be next? 

#FossilFreeRevolution"
"26",110470,"Network4Animals",32,26,"Photo","We found a vet that is willing to visit Ithaca island, Greece, 3 times to sterilize at least 100 cats at $50 (<U+00A3>35) cat. If all goes well, we will continue until all of the cats on the island are sterilized. 

Stay by our side &amp; help us help them, please."
"27",123934,"AWF_Official",54,23,"Photo","AWF helps prosecutors working difficult #wildlife cases find mentors to help support them."
"28",2473,"oceana",1299,304,"Photo","It looks like these sea turtles are celebrating #TurtleTuesday!  Drop a <U+0001F422> in the comments if you are too!"
"29",53220,"BBCEarth",499,81,"Photo","Oh hi there <U+0001F44B>
#Primates"
