weeknr,week,lec,leclink,lab,lablink
1.01,Sem 1 Week 1,Course Introduction,,,
,,,,,
1.02,Sem 1 Week 2,,,,
1.03,Sem 1 Week 3,,,,
1.04,Sem 1 Week 4,,,,
1.05,Sem 1 Week 5,,,,
1.06,Sem 1 Week 6,No Lecture,,,
1.07,Sem 1 Week 7,,,,
1.08,Sem 1 Week 8,,,,
1.09,Sem 1 Week 9,,,,
1.1,Sem 1 Week 10,,,,
1.11,Sem 1 Week 11,,,,
2,---,---,,---,
2.01,Sem 2 Week 1,,,,
2.02,Sem 2 Week 2,,,,
2.03,Sem 2 Week 3,,,,
2.04,Sem 2 Week 4,,,,
2.05,Sem 2 Week 5,,,,
2.06,Flexible Learning Week,---,,---,
2.07,Sem 2 Week 6,,,,
2.08,Sem 2 Week 7,,,,
2.09,Sem 2 Week 8,,,,
2.1,Sem 2 Week 9,,,,
2.11,Sem 2 Week 10,,,,
