subjID,age,bg,line,RT,logRT
IRerHWFK,4,NonIllusion,Top,452.03475459403046,6.113759067571051
ykYBmfpn,35,PonzoSimple,Top,247.63573551027793,5.511958857982154
ViKMBnFO,53,PonzoSimple,Top,349.1135308459823,5.855397172586403
obABIEap,42,PonzoSimple,Bottom,235.58957116052034,5.462091185774448
cBkeNYUW,45,PonzoPhoto,Top,312.6963972557739,5.745232742989601
FvUEYQgn,21,PonzoPhoto,Bottom,304.44326795375565,5.718484757652956
SQTWxeEa,20,NonIllusion,Bottom,474.66870274143463,6.162617092777971
gAchjTUl,26,NonIllusion,Top,808.2141128815246,6.694827014607137
zXhuTCvx,50,PonzoSimple,Top,167.56573933971518,5.121375747937417
OdpMPqjy,10,NonIllusion,Bottom,412.49812491119883,6.022231660094583
ucbMvGRA,36,PonzoSimple,Bottom,355.268324342299,5.8728733471875305
DEtjhZgS,5,PonzoSimple,Bottom,904.3864045183503,6.807256707692804
QyMmjGVI,56,PonzoPhoto,Top,248.13966497361366,5.513991752863148
fngwbLdi,65,NonIllusion,Bottom,351.3915680693926,5.8619011802157965
xZCOmWYA,34,NonIllusion,Top,595.8522899166094,6.389992800638618
bINePUrL,21,PonzoSimple,Bottom,362.1321346664763,5.892009158115591
dVtvALbu,50,NonIllusion,Top,263.35892973199043,5.573517853583084
YxzHeELd,58,PonzoPhoto,Top,294.75736126281566,5.686152513703807
IBzowqVa,46,PonzoSimple,Top,285.8184712763131,5.655356893485406
plWhCABS,51,PonzoPhoto,Top,246.33263090219407,5.506682780728776
cEhoLwRx,6,NonIllusion,Bottom,924.204669286323,6.82893355067002
uMmDFWsY,37,PonzoSimple,Bottom,371.21344670982876,5.916777225228536
PVZnvNFH,53,NonIllusion,Bottom,172.83695972880386,5.15234872081879
UXCnkNaM,25,PonzoPhoto,Top,237.4158376510918,5.469813192886718
SCcEsYeN,18,PonzoSimple,Bottom,768.5475557862812,6.644502442373491
jTeMCnXc,31,PonzoPhoto,Top,249.1346539296296,5.517993529130382
JMpFzmSR,26,NonIllusion,Bottom,377.0748558525301,5.932443724376261
UtWZOcpu,17,NonIllusion,Top,377.17144813692664,5.932699853665629
EVAwyMvF,60,PonzoPhoto,Bottom,265.2456551468109,5.580656397140561
rogXVxJs,11,NonIllusion,Top,475.07870298569736,6.163480480805692
SHLKPqUF,36,NonIllusion,Bottom,426.20185706766307,6.054913076923121
XZHUGipg,56,NonIllusion,Bottom,508.9037272461949,6.232258857690966
dEyDKoBJ,27,NonIllusion,Bottom,568.2706082480516,6.342597728239682
hBLFtImS,48,PonzoPhoto,Top,327.42881762637376,5.791270680692043
EQIrYMLi,65,PonzoPhoto,Top,290.19651796823297,5.670558341646996
HBIevGEu,25,PonzoSimple,Top,348.02612074624466,5.852277536573288
mryeBToH,45,NonIllusion,Top,252.385949124289,5.530959460037798
YiUfPGzp,48,NonIllusion,Bottom,360.47029772717786,5.8874095614503785
SiYMvtJh,24,NonIllusion,Bottom,452.18541227105703,6.114092299861021
PKXCGdVf,33,PonzoSimple,Bottom,454.5835727184669,6.119381775082442
WXLbHzMR,28,PonzoPhoto,Top,235.48350094812866,5.461640851333936
pBoLJrWF,54,PonzoPhoto,Bottom,526.5471356205859,6.266340853911679
HWMdqshz,25,PonzoPhoto,Bottom,565.8300490965912,6.338293766500341
LyVWCDUz,60,PonzoPhoto,Bottom,602.7016087336133,6.401422229696674
XMGaVifE,17,NonIllusion,Bottom,186.91215280774966,5.23063873539603
zulaJcML,36,PonzoPhoto,Bottom,340.78776965165457,5.831259907138826
wxamtpAI,32,NonIllusion,Bottom,212.10240893980776,5.357069219072419
iKnjkJUw,42,NonIllusion,Top,289.42917166927407,5.667910609633158
WbfYXLEe,26,NonIllusion,Top,397.32409557960847,5.984752309306734
QFtcSZaA,67,PonzoSimple,Bottom,422.3879255730421,6.045924146692391
AIFrpjYD,26,PonzoPhoto,Top,303.6718332325769,5.715947622385347
IzqmjSDi,4,PonzoSimple,Top,173.23921759118002,5.1546734000073196
cPCojTNt,25,NonIllusion,Bottom,350.63021765034364,5.859732157165437
tgrAxiSX,39,NonIllusion,Bottom,443.3774912164486,6.0944215318351445
KxWBmTNJ,65,NonIllusion,Bottom,332.56418647499294,5.806832883495748
UgfbwGDY,10,PonzoSimple,Top,540.9248820584128,6.293280419036612
dzkfnJsW,22,PonzoPhoto,Top,324.8700862379367,5.7834253677620415
IgsKTvhz,45,PonzoSimple,Bottom,226.27227276755144,5.4217390209063225
uMECZtQA,8,PonzoSimple,Bottom,663.6064619767748,6.497689296027731
tvHSRBzV,57,PonzoSimple,Top,185.98733222621638,5.2256785650831965
jvDNKsPY,52,PonzoSimple,Bottom,398.6452621593613,5.988071954165379
jEaerxBo,56,NonIllusion,Top,341.37057506889266,5.8329686176267925
pftWTFES,59,PonzoPhoto,Top,327.2548143655581,5.79073911626486
yRhwUmTZ,44,NonIllusion,Top,524.6284808543048,6.262690356569661
fmnJKUMT,25,PonzoPhoto,Top,332.85128129641987,5.807695787510296
lGkcQHzf,24,PonzoSimple,Bottom,239.9920617703267,5.480605846837998
XFWJKwNq,34,PonzoSimple,Top,270.6824741366771,5.600946451771036
PtaoADmW,55,PonzoSimple,Top,226.51361952929884,5.422805073487511
fPnTDIye,28,PonzoSimple,Top,343.3058421469114,5.838621717932922
JgnQMsYR,28,NonIllusion,Bottom,698.1765046409923,6.548471942774142
YJcIrDZl,52,PonzoSimple,Bottom,222.73915559200398,5.406001380954823
RiwAUNdx,60,PonzoSimple,Top,223.0113818181095,5.4072228097007375
WoSpaGNw,59,NonIllusion,Bottom,336.778370251867,5.819425058963455
fwNbTuAG,45,PonzoPhoto,Top,378.4824138824855,5.936169609136219
bXZdkyzn,29,PonzoPhoto,Top,275.2356503700322,5.617627641164911
qlWcunOJ,58,PonzoPhoto,Bottom,400.22178177713334,5.992018847897744
iYINSZnP,54,PonzoPhoto,Bottom,410.643150171483,6.0177245895928815
eMouCKRO,28,PonzoPhoto,Bottom,426.47161137586147,6.0555458028778535
CStjOMKH,14,PonzoSimple,Top,277.68654896165964,5.6264929558391605
EcygaVwj,20,NonIllusion,Bottom,725.3815826368958,6.586697837274898
hgPxfDSi,37,NonIllusion,Bottom,458.1916439095722,6.127287533077835
cIEquxXK,39,PonzoPhoto,Top,608.9338890749167,6.41170970528998
JUyrpGEI,30,NonIllusion,Top,316.029525925192,5.755835645694123
IauLOWsj,28,PonzoSimple,Top,174.50640631806638,5.1619614533930465
ZGgvSPVr,35,PonzoSimple,Top,231.9209428895375,5.446396550186101
QhwpVRDP,15,PonzoPhoto,Bottom,476.46467126786536,6.166393578200504
mlzkOXgE,50,NonIllusion,Bottom,327.1449230539341,5.790403262485058
jJrNWuvV,16,NonIllusion,Top,313.259605793403,5.747032258249044
cKeBDopJ,11,PonzoSimple,Top,147.39822951355322,4.993137968241804
MkBKqEby,59,PonzoPhoto,Bottom,311.54955144844195,5.741558399247394
yGOeNqwQ,36,NonIllusion,Bottom,262.2253449976581,5.5692042295019
