weeknr,week,lec,leclink,lab,lablink
1.01,Sem 1 Week 1,Course Introduction,https://uoepsy.github.io/dapr2/2223/lectures/dapR2_00_Intro.html,Functions and Models,https://uoepsy.github.io/dapr2/2223/labs/1_01_function.html
,,Intro to the linear model,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_01_introlm.html,,
1.02,Sem 1 Week 2,Linear Model: Fundamentals,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_02_LM2.html,Intro to Linear Regression,https://uoepsy.github.io/dapr2/2223/labs/1_02_slr.html
1.03,Sem 1 Week 3,Testing and Evaluating LM,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_03_testinglm.html,Multiple Regression,https://uoepsy.github.io/dapr2/2223/labs/1_03_mlr.html
1.04,Sem 1 Week 4,F-tests & Standardisation,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_04_testinglm2.html,Model Fit and Standardisation,https://uoepsy.github.io/dapr2/2223/labs/1_04_model_fit.html
1.05,Sem 1 Week 5,Categorical Predictors,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_05_LMcategorical1,Categorical Predictors & Recap,https://uoepsy.github.io/dapr2/2223/labs/1_05_cat_recap.html
1.06,Sem 1 Week 6,No Lecture,,,
1.07,Sem 1 Week 7,Interactions 1,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_06_interactions1.html,Interactions I: Num x Cat,https://uoepsy.github.io/dapr2/2223/labs/1_07_int1_nc.html
1.08,Sem 1 Week 8,Interactions 2,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_07_interactions2.html,Interactions II: Num x Num,https://uoepsy.github.io/dapr2/2223/labs/1_08_int2_nn.html
1.09,Sem 1 Week 9,Interactions 3,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_08_interactions3.html,Interactions III: Cat x Cat,https://uoepsy.github.io/dapr2/2223/labs/1_09_int3_cc.html
1.1,Sem 1 Week 10,Assumptions & Diagnostics,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_09_assumptions_diagnostics.html,Assumptions & Diagnostics,https://uoepsy.github.io/dapr2/2223/labs/1_10_assump_diag.html
1.11,Sem 1 Week 11,Worked Example Lecture,,Write Up & Recap,https://uoepsy.github.io/dapr2/2223/labs/1_11_writeup_recap.html
2,---,---,,---,
2.01,Sem 2 Week 1,Model Comparisons,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_11_modelcomparison,Model Comparison,https://uoepsy.github.io/dapr2/2223/labs/2_01_model_comps.html
2.02,Sem 2 Week 2,Effects Coding,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_12_effectscoding.html,Effects Coding,https://uoepsy.github.io/dapr2/2223/labs/2_02_effects.html
2.03,Sem 2 Week 3,Testing Contrasts and One-way Analyses,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_13_onewaycontrasts.html,Contrasts,https://uoepsy.github.io/dapr2/2223/labs/2_03_contrasts.html
2.04,Sem 2 Week 4,Analyzing Experiments,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_14_experimentaleffects.html,Simple Effects & Pairwise Comparisons,https://uoepsy.github.io/dapr2/2223/labs/2_04_emmeans.html
2.05,Sem 2 Week 5,Bootstrapping,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_15_BootstrapLM,Write Up & Recap,https://uoepsy.github.io/dapr2/2223/labs/2_05_writeup_recap.html
2.06,Flexible Learning Week,---,,---,
2.07,Sem 2 Week 7,Binary Logistic Model,https://uoepsy.github.io/dapr2/2223/lectures/dapR2_16_binarylogistic.html,Binary Logistic Regression,https://uoepsy.github.io/dapr2/2223/labs/2_06_glm1.html
2.08,Sem 2 Week 8,Introduction to Power Analysis,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_17_intropower.html,More Logistic Regression,https://uoepsy.github.io/dapr2/2223/labs/2_07_glm2.html
2.09,Sem 2 Week 9,Understanding Linear Models,https://uoepsy.github.io/dapr2/2223/lectures/dapr2_18_understandingLM.html,Sample Size & Power Analysis,https://uoepsy.github.io/dapr2/2223/labs/2_08_power.html
2.1,Sem 2 Week 10,,,,
2.11,Sem 2 Week 11,,,,
